GO_term term CLIN1_Pr NOCLIN_Pr CLIN1_Abs NOCLIN_Abs
GO 5984 23 96 0 1
GO 5985 23 96 0 1
GO 5986 23 96 0 1
GO 5991 0 1 23 96
GO 5992 0 1 23 96
GO 5996 23 97 0 0
GO 5997 0 9 23 88
GO 5998 0 9 23 88
GO 6000 23 97 0 0
GO 6001 23 97 0 0
GO 6002 23 97 0 0
GO 6006 23 97 0 0
GO 6012 23 97 0 0
GO 6014 23 97 0 0
GO 6015 23 97 0 0
GO 6020 23 96 0 1
GO 6022 23 97 0 0
GO 6023 23 97 0 0
GO 6024 23 97 0 0
GO 6026 23 97 0 0
GO 6027 23 97 0 0
GO 6029 0 0 23 97
GO 6030 16 37 7 60
GO 6031 0 2 23 95
GO 6032 16 35 7 62
GO 6037 0 2 23 95
GO 6038 0 2 23 95
GO 6040 23 97 0 0
GO 6044 21 5 2 92
GO 6046 0 2 23 95
GO 6047 23 97 0 0
GO 6048 23 97 0 0
GO 6050 0 5 23 92
GO 6051 0 5 23 92
GO 6053 0 5 23 92
GO 6054 0 5 23 92
GO 6063 0 3 23 94
GO 6064 0 1 23 96
GO 6066 23 97 0 0
GO 6067 23 97 0 0
GO 6071 23 97 0 0
GO 6072 23 97 0 0
GO 6073 23 97 0 0
GO 6081 23 97 0 0
GO 6082 23 97 0 0
GO 6083 23 97 0 0
GO 6084 23 97 0 0
GO 6085 23 97 0 0
GO 6086 23 97 0 0
GO 6089 23 97 0 0
GO 6090 23 97 0 0
GO 6091 23 97 0 0
GO 6094 23 97 0 0
GO 6096 23 97 0 0
GO 6097 23 97 0 0
GO 6098 23 97 0 0
GO 6099 23 97 0 0
GO 6101 23 97 0 0
GO 6103 23 97 0 0
GO 6105 23 97 0 0
GO 6106 3 47 20 50
GO 6107 0 1 23 96
GO 6108 23 97 0 0
GO 6109 23 97 0 0
GO 6112 23 97 0 0
GO 6113 23 97 0 0
GO 6115 22 95 1 2
GO 6116 0 1 23 96
GO 6119 23 97 0 0
GO 6120 23 97 0 0
GO 6123 1 2 22 95
GO 6124 23 95 0 2
GO 6139 23 97 0 0
GO 6140 0 6 23 91
GO 6144 23 97 0 0
GO 6145 0 10 23 87
GO 6146 0 1 23 96
GO 6148 1 34 22 63
GO 6149 1 34 22 63
GO 6150 0 7 23 90
GO 6152 23 97 0 0
GO 6154 23 73 0 24
GO 6161 1 34 22 63
GO 6163 23 97 0 0
GO 6164 23 97 0 0
GO 6165 23 97 0 0
GO 6166 23 97 0 0
GO 6167 23 94 0 3
GO 6168 23 96 0 1
GO 6171 23 94 0 3
GO 6172 22 96 1 1
GO 6177 23 97 0 0
GO 6183 22 97 1 0
GO 6188 23 97 0 0
GO 6189 23 97 0 0
GO 6195 23 97 0 0
GO 6203 23 97 0 0
GO 6206 23 97 0 0
GO 6207 23 97 0 0
GO 6208 23 96 0 1
GO 6209 0 18 23 79
GO 6212 23 94 0 3
GO 6213 23 97 0 0
GO 6216 23 96 0 1
GO 6217 23 96 0 1
GO 6218 23 97 0 0
GO 6220 23 97 0 0
GO 6221 23 97 0 0
GO 6222 23 97 0 0
GO 6226 23 96 0 1
GO 6227 23 96 0 1
GO 6231 23 36 0 61
GO 6233 23 96 0 1
GO 6235 23 96 0 1
GO 6241 23 97 0 0
GO 6244 23 97 0 0
GO 6253 23 66 0 31
GO 6259 23 97 0 0
GO 6260 23 97 0 0
GO 6261 23 97 0 0
GO 6265 23 97 0 0
GO 6266 23 97 0 0
GO 6268 23 97 0 0
GO 6269 23 96 0 1
GO 6270 23 97 0 0
GO 6271 23 97 0 0
GO 6273 23 97 0 0
GO 6274 1 3 22 94
GO 6275 23 97 0 0
GO 6276 23 97 0 0
GO 6278 0 1 23 96
GO 6281 23 97 0 0
GO 6282 23 97 0 0
GO 6283 23 97 0 0
GO 6284 23 97 0 0
GO 6285 23 97 0 0
GO 6288 23 96 0 1
GO 6289 23 97 0 0
GO 6298 23 97 0 0
GO 6301 23 97 0 0
GO 6302 23 97 0 0
GO 6304 23 97 0 0
GO 6305 23 97 0 0
GO 6306 23 97 0 0
GO 6308 23 97 0 0
GO 6310 23 97 0 0
GO 6313 11 15 12 82
GO 6323 23 97 0 0
GO 6351 23 97 0 0
GO 6352 23 97 0 0
GO 6353 23 97 0 0
GO 6354 23 97 0 0
GO 6355 23 97 0 0
GO 6357 0 1 23 96
GO 6364 23 97 0 0
GO 6378 23 97 0 0
GO 6379 0 6 23 91
GO 6382 23 97 0 0
GO 6396 23 97 0 0
